otu_id	phylum	family	genus	s12903	m41	m25	m5	s62162	s62160	s19481	m34	m32	s12438	s401660	s401612	m3	m1	s402150	s401656	s39326	m40	m11	s16001	s62172	s62156	m7	s402124	s62152	s15965	m46	s7857	s401652	m39	s7863	m36	s62174	m45	s62166	s39314	s401632	s15987	s15981	m37	s401654	s62158	m2	s401622	m28	m21	m8	s401964	s401614	s402122	m9	s401954	s19501	m27	s62150	s401996	s19507	s19505	s62164	s402112	s401646	s401618	m6	m14	s138530	s401616	m18	s9450	m4	s12614	s402120	m17	m23	m35	s401620	s401974	m20	s402116	s62120	s39352	s401956	s62168	s9586	s401634	m31	s402006	s19594	m24	s9466	m44	s15947	m26	s62170	s401978	s12884	m43	s401972	m22	m29	m13	m33	m38	m15	m10	s62128	s15827	s15949	m16	s39300	s62154	m12	s402118	s15825	m19	s62134	s401650	s19509	m42	s12428	s12430	s15997	s19511
bddd04c099655581172839bf820e48811964a613	Glomeromycota	Glomeraceae	Glomus	30	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06f94f14ed2d08b729232c5f8827fb3f6346de13	Glomeromycota	Entrophosporaceae	Entrophospora	0	10	0	16	0	10	0	0	17	0	26	0	21	6	0	8	31	1	53	6	13	8	0	70	0	0	11	2	3	0	0	0	24	8	0	14	0	3	0	0	0	13	26	0	0	3	1	0	0	35	0	0	0	0	0	19	0	0	0	6	0	0	0	24	2	0	0	0	13	0	0	0	0	0	20	0	0	6	0	9	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fd38ea639c22189eede45740ffe182bebec47e0	Glomeromycota	Glomeraceae	Glomus	1	2	15	1	0	0	0	0	4	0	0	3	9	5	0	3	4	1	6	0	33	0	0	8	3	8	20	0	3	0	0	0	41	15	0	55	9	0	0	0	0	2	11	13	0	16	1	0	0	18	0	0	0	0	8	0	0	0	0	11	4	0	0	0	6	0	10	0	13	0	0	7	11	0	8	0	0	19	0	21	0	3	0	0	8	0	0	0	0	0	0	4	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0
f10ff92e1101d7224ed6e6f5e96c97182130c87a	Glomeromycota	Glomeraceae	Glomus	25	0	2	0	0	0	0	1	0	1	0	0	0	10	0	0	0	1	0	10	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3bf0de694dc48b764140e30203792d1e1475ec27	Glomeromycota	Entrophosporaceae	Entrophospora	0	9	0	0	0	100	0	0	0	0	0	0	19	0	130	0	0	0	0	0	113	41	0	24	0	0	0	0	0	0	0	0	6	0	5	0	19	0	10	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	4	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
068eac50a237fb19a4872b38d982cf939dbb9143	Glomeromycota	Glomeraceae	Glomus	0	0	0	21	0	0	0	0	0	0	8	0	0	3	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
734a8c7276a8ef386a40908d87e6a2bd2408d5f2	Glomeromycota	Glomeraceae	Glomus	0	8	0	12	0	0	2	8	19	0	1	9	55	51	0	4	0	2	0	0	3	0	9	7	0	0	136	0	0	0	0	0	6	20	0	0	8	0	5	10	0	0	20	11	9	12	8	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	0	18	0	0	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	4	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
a533ab8bc91715af4cd448ed187dac9788d03db8	Glomeromycota	Glomeraceae	Glomus	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5772be9766c2c8accca36c704f8b228827ebad27	Glomeromycota	Glomeraceae	Glomus	0	2	10	9	0	0	7	3	9	2	0	1	2	16	0	0	0	0	2	0	0	0	2	0	4	4	10	0	0	0	0	0	0	7	0	13	0	0	0	0	0	0	0	5	0	9	3	2	0	0	0	2	0	5	7	0	0	0	0	0	11	0	1	0	0	0	1	3	3	0	0	0	7	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	5	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d72b57545dce1dbf624f7217d7fd5be9ab5efa2e	Glomeromycota	Glomeraceae	Dominikia	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
