otu_id	m46	s402150	s9450	s62160	s62172	s9586	s15949	s401978	s401612	s19507	s402124	s62162	s402120	s15825	m9	s62170	m3	m22	m11	s39314	s401614	m1	s401646	s12903	s401956	s62166	s62156	s15981	s401632	s62174	s401618	m31	s402122	s62152	s15827	s9466	s7863	s401616	s39326	m6	s62134	s7857	s19481	m38	s401660	s62164	m2	m19	s19594	s401996	m14	s62168	m13	s401622	s401650	s15997	m34	s39300	m5	s39352	s402112	s401620	m45	s401634	s402116	s402006	m32	m26	s401972	s401654	s401954	m28	m12	s16001	m25	s12438	m7	m21	m17	s15965	s19505	s401656	s62120	s402118	m40	s62150	m4	s62158	s401652	m10	s62128	s19501	m33	m8	m23	m27	m16	s12884	m41	m18	s401964	m43	m20	m37	s15947	s15987	m36	m29	m35	m24	m42	s19511	s138530	m15	s401974	m44	s12428	s12430	s12614	s62154	s19509	m39
734a8c7276a8ef386a40908d87e6a2bd2408d5f2	145	0	0	0	3	0	0	0	9	0	7	0	0	12	0	0	57	0	0	0	0	53	0	0	0	0	0	5	8	5	0	2	0	0	0	0	0	0	0	0	0	0	2	5	1	0	21	0	0	0	6	0	0	11	0	0	8	0	12	0	0	19	21	0	18	0	20	0	0	0	0	9	0	0	0	0	10	12	0	0	11	4	0	0	2	0	6	0	0	0	0	0	8	8	0	0	0	0	9	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3bf0de694dc48b764140e30203792d1e1475ec27	0	139	0	105	105	0	0	0	0	0	26	0	0	0	0	0	20	0	0	0	8	0	0	0	0	5	43	10	19	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eea5182cfb18401f8080ac350b9b0343377058a0	14	0	129	1	17	102	90	6	3	0	0	0	19	0	0	58	14	57	18	0	0	2	0	27	0	0	0	0	8	11	0	36	12	2	35	35	0	0	0	31	31	0	0	30	20	0	22	1	26	0	17	0	25	0	0	24	0	23	1	21	0	5	6	21	0	0	19	20	5	0	0	0	0	1	1	1	3	1	6	16	0	0	0	8	0	3	11	4	1	14	14	0	13	7	0	0	0	12	5	5	0	0	0	0	8	9	1	9	3	0	0	0	0	0	0	0	0	4	0	0	0	0
3701b5a0b7861b068dde769080e3c2c763b58dfd	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96c4dfcceca90a50fb61ee78501c22a6184f1865	0	0	6	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	52	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	7	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
1dd0591f3486d4fbfc44c9251c5fa387e6c31ee8	0	0	2	0	0	0	8	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	6	16	0	0	0	2	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1
65cf169c42c7d521137fd63134da6dfdb76f644c	0	15	0	0	0	0	0	0	0	76	0	23	0	12	0	0	0	0	0	0	26	0	0	0	0	23	4	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06f94f14ed2d08b729232c5f8827fb3f6346de13	12	0	0	10	12	0	0	0	0	0	74	0	0	0	0	0	22	0	56	14	0	7	0	0	0	0	9	0	0	23	0	0	35	0	0	0	0	0	32	0	0	2	0	0	28	0	27	0	0	20	25	0	0	0	0	0	0	0	17	10	6	21	8	15	6	0	17	0	0	0	0	1	0	5	0	0	0	4	0	0	0	9	0	6	1	0	14	14	4	0	0	0	4	1	0	0	0	0	11	0	0	0	0	0	0	3	0	2	0	0	0	0	2	5	0	0	0	0	0	0	0	0
028dd3af62d1c0a08abfc150e1b4459988accc0e	0	0	0	0	0	0	0	0	72	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d72b57545dce1dbf624f7217d7fd5be9ab5efa2e	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
