otu_id	phylum	family	genus	s12903	m41	m25	m5	s62162	s62160	s19481	m34	m32	s12438	s401660	s401612	m3	m1	s402150	s401656	s39326	m40	m11	s16001	s62172	s62156	m7	s402124	s62152	s15965	m46	s7857	s401652	m39	s7863	m36	s62174	m45	s62166	s39314	s401632	s15987	s15981	m37	s401654	s62158	m2	s401622	m28	m21	m8	s401964	s401614	s402122	m9	s401954	s19501	m27	s62150	s401996	s19507	s19505	s62164	s402112	s401646	s401618	m6	m14	s138530	s401616	m18	s9450	m4	s12614	s402120	m17	m23	m35	s401620	s401974	m20	s402116	s62120	s39352	s401956	s62168	s9586	s401634	m31	s402006	s19594	s15829	m24	s9466	m44	s15947	m26	s62170	s401978	s12884	m43	s401644	s401972	m22	m29	m13	m33	m38	m15	m10	s7839	s62128	s15827	s15949	m16	s39300	s62154	m12	s402118	s15825	m19	s62134	s401650	s401658	s19509	m42	s12428	s12430	s15997	s19511
bca4172c991bc14da105eb7ce95f8103009d5a97	Glomeromycota	Glomeraceae	Glomus	0	37	1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	21	0	0	0	0	0	0	124	0	116	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
8df953bba5a25f3ca3b0728f03f84ad7688e86b1	Glomeromycota	Glomeraceae	Glomus	1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eaca4cb19c14ea52d21e7338bc46f0af79df9bef	Glomeromycota	Glomeraceae	Glomus	0	0	0	0	0	0	999	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	172	0	0	0	0	0	0	0	159	77	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	32	0	0	0	13	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9b304b250cb1c61a0813911ca8c1a215457f3b54	Glomeromycota	Acaulosporaceae	Acaulospora	0	889	0	5	0	10	0	0	8	0	0	0	8	0	0	0	0	40	0	0	0	0	0	0	0	50	0	0	0	0	0	0	57	0	0	0	0	5	52	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6150d9555d3b29738da695c76739d9c851297487	Glomeromycota	Glomeraceae	Glomus	0	0	0	0	0	0	0	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	9	0	0	0	172	96	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	29	0	0	15	0	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e443ace0b6aacba8ac7fa25dd43bb57553900c16	Glomeromycota	Glomeraceae	Glomus	0	65	0	0	0	0	0	0	0	827	0	0	9	35	0	0	179	57	0	58	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	6	31	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028dd3af62d1c0a08abfc150e1b4459988accc0e	Glomeromycota	Glomeraceae	Glomus	0	0	0	0	0	0	0	0	0	0	0	745	0	0	0	0	0	0	0	0	0	0	71	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	14	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42a26f6a08133e46f32bdc5fea09ce0833628944	Glomeromycota	Glomeraceae	Glomus	0	0	153	622	0	0	0	0	0	137	0	19	15	161	0	0	70	0	0	203	0	0	105	0	48	14	0	0	0	0	0	0	0	55	0	83	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	8	11	5	7	0	0	21	0	0	0	34	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	19	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0
8f7508c92a042de4bce02f68e1197348497de8e6	Glomeromycota	Glomeraceae	Glomus	0	0	0	258	0	17	0	95	139	75	0	0	24	21	0	110	0	566	52	498	0	0	0	0	0	0	26	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	42	0	28	0	0	0	0	40	0	0	0	58	0	0	0	0	7	0	28	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ae05df173bb7b8dd5b4c253966185c5524641db7	Glomeromycota	Archaeosporaceae	Archaeospora	0	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
